back_x_top,back_y_top,front_x_top,front_y_top,stim_x,stim_y,back_x_side,back_y_side,front_x_side,front_y_side,jump
617.660000,399.840000,600.020000,410.040000,918.095686,376.854305,753.020000,415.020000,725.000000,409.000000,0
617.990000,400.000000,599.970000,410.000000,910.074476,377.384106,753.110000,415.090000,725.000000,409.000000,0
618.000000,399.990000,600.010000,409.980000,898.968185,377.913907,753.010000,415.000000,724.990000,409.000000,0
618.010000,400.020000,599.990000,409.990000,889.095927,377.913907,753.060000,415.050000,725.010000,409.000000,0
618.000000,400.000000,600.000000,410.010000,878.280000,380.720000,753.060000,415.040000,725.000000,408.990000,0
618.000000,400.010000,600.010000,410.010000,865.649313,378.973510,753.010000,415.030000,725.000000,409.000000,0
618.040000,400.000000,600.020000,409.980000,857.011087,379.503311,753.040000,415.040000,725.000000,409.000000,0
618.000000,400.010000,600.000000,410.020000,848.372861,381.092715,753.060000,415.050000,724.990000,409.000000,0
618.000000,400.000000,600.020000,410.010000,835.415522,380.562914,753.170000,415.120000,725.000000,409.000000,0
617.980000,400.020000,600.050000,410.130000,826.160280,380.562914,754.220000,416.200000,725.010000,408.990000,0
617.850000,400.080000,599.800000,410.340000,817.522054,380.562914,754.950000,416.800000,725.000000,409.000000,1
609.687216,407.023356,593.321577,417.848909,808.266811,379.503311,757.960000,418.270000,724.290697,405.888889,0
602.900000,411.430000,585.521274,422.872210,800.245601,380.033113,758.230000,418.050000,723.185388,403.113821,0
588.886408,419.581610,578.100000,428.130000,790.990359,380.033113,750.438740,408.055606,721.527424,393.863595,0
574.910866,428.511923,569.433149,433.756030,780.501085,379.503311,738.648774,385.855064,716.000877,369.813008,0
567.110563,434.093369,561.320000,439.650000,770.011810,380.562914,719.981328,357.076583,702.184511,333.274616,0
560.935323,440.791105,547.982316,445.895675,759.522536,380.033113,704.261373,329.531466,689.473453,295.348690,0
553.850000,445.750000,536.080000,453.340000,749.033261,380.562914,686.085175,302.808592,677.867706,265.747967,0
542.409603,452.512141,522.387572,462.430709,740.395035,381.622517,668.355111,261.420255,666.261958,240.309846,0
531.950000,459.420000,514.035511,469.593819,729.905760,380.033113,656.595628,223.365854,652.491249,205.122152,0
520.633758,465.349467,502.517876,477.364238,717.565437,380.562914,643.539162,192.666667,640.701283,175.110308,0
